INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Merkaz Bnos-Business School,Brooklyn,NY,11214,Middle States Commission on Secondary Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,0.8621,Large,City
Grace Mission University,Fullerton,CA,92833-3860,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.9048,Large,Suburb
Long Island Business Institute,Flushing,NY,11354-5577,New York State Board of Regents and the Commissioner of Education,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private for-profit,New York,Mid East,0.7422,Large,City
Oikos University,Oakland,CA,94621-2041,,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.4286,N,N
West Coast University-Orange County,Anaheim,CA,92802,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,6,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,California,Far West,0.9535,Large,City
University of Hawaii at Manoa,Honolulu,HI,96822-2217,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Hawaii,Far West,0.8352,Large,City
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Hawaii,Far West,0.7531,Large,Suburb
University of the Pacific,Stockton,CA,95211-0197,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.6348,Large,City
San Jose State University,San Jose,CA,95192-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5466,Large,City
University of California-Irvine,Irvine,CA,92697,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.2876,Large,City
University of California-Berkeley,Berkeley,CA,94720,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.1484,Midsize,City
University of the Sciences,Philadelphia,PA,19104-4495,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.6327,Large,City
University of California-Riverside,Riverside,CA,92521,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5057,Large,City
University of California-San Diego,La Jolla,CA,92093,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.3006,Large,City
Art Center College of Design,Pasadena,CA,91103,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.6765,Midsize,City
The University of Texas at Dallas,Richardson,TX,75080-3021,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.6922,Midsize,City
CUNY Bernard M Baruch College,New York,NY,10010,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.3929,Large,City
Carnegie Mellon University,Pittsburgh,PA,15213-3890,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.1712,Large,City
